Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (36791042),Giannis Antetokounmpo,36791042,PF/C/F/UTIL,12000,MIL@MIA 11/26/2024 07:30PM ET,MIL,61.02
C,Victor Wembanyama (36791046),Victor Wembanyama,36791046,C/UTIL,10800,SAS@UTA 11/26/2024 09:00PM ET,SAS,50.66
C,Anthony Davis (36791048),Anthony Davis,36791048,C/UTIL,10500,LAL@PHX 11/26/2024 10:00PM ET,LAL,55.08
PF/C,LeBron James (36791050),LeBron James,36791050,PF/C/F/UTIL,10000,LAL@PHX 11/26/2024 10:00PM ET,LAL,50.91
PG/SG,Anthony Edwards (36791054),Anthony Edwards,36791054,PG/SG/G/UTIL,9500,HOU@MIN 11/26/2024 08:00PM ET,MIN,44.52
PG/SG,Devin Booker (36791058),Devin Booker,36791058,PG/SG/G/UTIL,9000,LAL@PHX 11/26/2024 10:00PM ET,PHX,41.70
PG,Damian Lillard (36791062),Damian Lillard,36791062,PG/G/UTIL,8900,MIL@MIA 11/26/2024 07:30PM ET,MIL,44.36
C,Alperen Sengun (36791065),Alperen Sengun,36791065,C/UTIL,8600,HOU@MIN 11/26/2024 08:00PM ET,HOU,43.5
C,Bam Adebayo (36791067),Bam Adebayo,36791067,C/UTIL,8500,MIL@MIA 11/26/2024 07:30PM ET,MIA,40.46
PF/C,Kevin Durant (36791069),Kevin Durant,36791069,PF/C/F/UTIL,8300,LAL@PHX 11/26/2024 10:00PM ET,PHX,45.03
C,Nikola Vucevic (36791073),Nikola Vucevic,36791073,C/UTIL,8200,CHI@WAS 11/26/2024 07:00PM ET,CHI,41.93
PF/C,Julius Randle (36791075),Julius Randle,36791075,PF/C/F/UTIL,8100,HOU@MIN 11/26/2024 08:00PM ET,MIN,37.53
PG/SG,Tyler Herro (36791079),Tyler Herro,36791079,PG/SG/G/UTIL,8000,MIL@MIA 11/26/2024 07:30PM ET,MIA,40.71
SG/SF,Zach LaVine (36791083),Zach LaVine,36791083,SG/SF/F/G/UTIL,7800,CHI@WAS 11/26/2024 07:00PM ET,CHI,37.5
SF/PF,Jimmy Butler (36791088),Jimmy Butler,36791088,SF/PF/F/UTIL,7800,MIL@MIA 11/26/2024 07:30PM ET,MIA,36.88
