NAME,MPG
Giannis Antetokounmpo,34.9
LaMelo Ball,34.1
Nikola Jokic,37.7
Shai Gilgeous-Alexander,34.1
Paolo Banchero,36.4
Jayson Tatum,36.4
Luka Doncic,36.6
Anthony Davis,35.5
De'Aaron Fox,37.5
Anthony Edwards,36.4
Damian Lillard,36.1
Kevin Durant,35.7
Karl-Anthony Towns,33.7
Jaylen Brown,36.2
Devin Booker,36.9
Jalen Brunson,33.8
Cam Thomas,33.4
Donovan Mitchell,31.7
Franz Wagner,33.2
Tyrese Maxey,36.3
Kyrie Irving,34.9
Tyler Herro,34.7
Norman Powell,32.4
Cade Cunningham,35.9
RJ Barrett,34.4
Victor Wembanyama,32.5
Brandon Ingram,33.9
LeBron James,35.0
DeMar DeRozan,36.0
Zion Williamson,31.1
Stephen Curry,30.3
Zach LaVine,33.4
Jaren Jackson Jr.,28.3
Jalen Williams,31.7
Brandon Miller,34.1
James Harden,33.9
CJ McCollum,33.0
Nikola Vucevic,31.8
Trae Young,36.0
Scottie Barnes,33.7
Kristaps Porzingis,27.3
Domantas Sabonis,36.2
Ja Morant,27.7
Julius Randle,33.0
Darius Garland,30.1
Pascal Siakam,34.4
Jordan Poole,29.8
Jalen Johnson,36.3
Joel Embiid,31.4
Lauri Markkanen,32.2
De'Andre Hunter,28.0
Michael Porter Jr.,35.6
Jalen Green,32.4
Alperen Sengun,30.7
Jimmy Butler,31.7
Cameron Johnson,32.6
Coby White,32.5
Bradley Beal,33.3
Bennedict Mathurin,32.7
Dennis Schroder,33.9
John Collins,29.1
Evan Mobley,31.3
Gradey Dick,32.4
Jamal Murray,36.0
Tyrese Haliburton,35.3
Devin Vassell,23.5
OG Anunoby,36.4
Jaden Ivey,30.6
Derrick White,34.5
Trey Murphy III,32.7
Shaedon Sharpe,30.3
Andrew Wiggins,28.6
Collin Sexton,28.1
Austin Reaves,33.7
Anfernee Simons,30.2
Mikal Bridges,38.2
Chet Holmgren,26.5
Paul George,30.2
Malik Monk,28.5
Jakob Poeltl,32.7
Fred VanVleet,35.2
Miles Bridges,30.1
Jared McCain,25.5
Jerami Grant,32.5
Kyle Kuzma,27.5
Payton Pritchard,28.2
Malik Beasley,28.5
Bam Adebayo,34.7
Myles Turner,32.4
Jalen Suggs,30.0
Keyonte George,31.4
Christian Braun,35.2
Immanuel Quickley,22.5
Jeremy Sochan,28.4
Aaron Gordon,30.3
Jordan Clarkson,26.0
Jonathan Kuminga,23.9
Ivica Zubac,32.3
Desmond Bane,28.0
Deandre Ayton,29.9
Tobias Harris,32.5
Tre Mann,24.5
Buddy Hield,22.9
Josh Hart,37.2
Dejounte Murray,31.8
Jarrett Allen,29.7
Malcolm Brogdon,23.8
Dyson Daniels,33.7
Santi Aldama,27.6
Jordan Hawkins,27.4
Kelly Oubre Jr.,31.1
Keldon Johnson,26.0
Moritz Wagner,19.3
Daniel Gafford,21.1
Naz Reid,24.9
Ayo Dosunmu,29.7
Terry Rozier,29.3
PJ Washington,32.5
Klay Thompson,27.7
Julian Champagnie,29.4
Dillon Brooks,30.7
Bogdan Bogdanovic,25.3
Keegan Murray,36.9
Bobby Portis,23.4
D'Angelo Russell,27.1
Jrue Holiday,31.3
Caris LeVert,24.2
Rui Hachimura,32.1
Brandon Boston Jr.,27.9
Jaylen Wells,24.9
Jonas Valanciunas,19.6
Nick Richards,27.0
Tyus Jones,32.3
Josh Giddey,27.0
Bilal Coulibaly,34.6
Russell Westbrook,24.1
Deni Avdija,26.7
Ochai Agbaji,31.3
Scoot Henderson,26.5
Stephon Castle,27.1
Brook Lopez,33.1
Naji Marshall,24.1
Zaccharie Risacher,24.0
Amen Thompson,26.4
Ty Jerome,18.5
Jabari Smith Jr.,29.8
