Date,Position,Total Entries,Ranked,Points Got,Expected Get,min Pts to win $,W/L,diff,Money,Model
11/27,16650,29726,56%,255.5,275.479,279.25,,-23.75,-1,PTS/MPG
11/29,7578,29726,25%,295.25,264.08,293.75,,1.5,0.5,PTS/MPG
11/30,19440,29726,65%,224.5,270.24,272.5,,-48,-1,PTS/MPG
12/01,8984,17835,50%,284.5,273,300.5,,-16,-1,PTS/MPG
12/02,25667,29726,86%,218.5,266.9,260,,-41.5,-1,PTS/MPG
12/03,29071,35671,81%,210.5,274.17,255,,-44.5,-1,PTS/MPG
12/04,4344,35671,12%,273.75,263.14,259.5,,14.25,,PTS/MPG
12/05,14368,29726,48%,269.75,274.55,284.25,,-14.5,,PTS/MPG
12/06,15866,29726,53%,259.5,260.26,284,,-24.5,,PTS/MPG
12/07,16173,23781,68%,281.75,278.09,333.5,,-51.75,,PTS/MPG
12/08,1157,1189,97%,218.25,265.92,274,,-55.75,,PTS/MPG
12/10,10281,35671,29%,267.75,263.12,269.25,,-1.5,,PTS/MPG
12/11,1552,35671,4%,269.25,254.7,251.75,,17.5,,PTS/MPG
12/12,19766,23781,83%,225.5,262.47,260.75,,-35.25,,PTS/MPG
12/13,20811,23781,88%,199.25,268.26,250,,-50.75,,PTS/MPG
12/14,7768,9136,85%,231.5,262.93,266.75,,-35.25,,PTS/MPG
